Panel 1.1,Location,On Plan,Installed,,,Panel 1.3,Location,On Plan,Installed,,,Legende,
TR-DP 1.1 400V/230V 50Hz,UTB-Y1-5.5-LVR,X,X,,,TR-DP 1.3 400V/230V 50Hz,UTB-Y1-5.5-LVR,X,X,,,Afkorting,Buildings
F1-MDP-1 400V/230V,F10-A1-0.0-FPR,X,,,,F1-MDP-9 400V/230V 50Hz,F10-A2-5.5-UPS,X,X,,,UTB,Utility building
F1-MDP-2 400V/230V,F10-A1-0.0-FPR,X,,,,F1-HOT-DP 400V/230V 50Hz,F10-A1-9.0-FH4,X,X,,,F10,Furnace gebouw 10
F1-MDP-3 400V/230V,F10-A1-0.0-FPL,X,X,,,F1-COLD-DP 400V/230V,F10-A2-5.5-CRA,X,X,,,F20,Furnace gebouw 20
F1-MDP-4 400V/230V 50Hz,F10-A1-0.0-FPL,X,X,,,MHO-10 400V/230V 50Hz ,F10-A1-9.0-FH4,X,X,,,BAH,Batchhouse
F1-MDP-7 400V/230V 50Hz,F10-A1-0.0-VPR,X,X,,,HOLD building designe is ongoing  AD-MDP 400V/230V 50Hz,ADB-?,,,,,ADB,Administration building
FH10 400V/230V 2|3X1120A|,F10-A1-9.0-FH1,X,,,,DISTRIBUTION BUILDING DB-DP&UP 6.19kW,DSB-0.0,X,,,,GUH,Guardhouse
FUR 10 CHIMNEY FILTRATION SYSTEM 814kW,F10-0.0-CFS,,,,,"LPG BUILDING LPG-DP 5,45kW",LPG-0.0,,,,,DSB,Distribution Building
4 BAR COMPRESSOR UT-COMP4-1 264 kW,UTB-Y2-0.0-CPH,X,,,,"PEDESTRIAN GUARD PG-DP&UP 8,77kW",GUH-3.7,,,Ik denk in kelder??,,LPG,LPG Building
4 BAR DRYER  UT-DRY4-1 58.5kW,UTB-Y2-0.0-CPH,X,,,,"TRUCK GUARD TG-DP&UP1 23,34kW ",TRG-?,,,,,TRG,Truck Guard
CHILLER 1 ACH-01 237.8kW,F10-0.0-CFS,,,,,TEST PANEL 400V/230V 50Hz QF1 4X400A MCCB,,,,,,CPK,Car Parking
CHILLER 2 ACH-01 237.8kW,F10-0.0-CFS,,,,,EV CHARGING F1-CAR CHG-4 198kW,CPK,,,,,,
TR-DP1 PFC WITH HARMONIC FILTER 1500kVAr,UTB-Y1-5.5-LVR,X,X,,,TR-DP 1.3 PDC WITH HARMONIC FILTER 1500kVAr,UTB-Y1-5.5-LVR,X,X,,,,Rooms
FOREHEART TRANSFORMER DISTRIBUTION PANEL 1.1 20kW,F10-A1-9.0-FH1,X,,,,"7 BAR COMPRESSOR UT-COMP7-1 ZT355VSD+ 2X354,3A",UTB-Y3-0.0-CPH,X,X,,,LVR,Low voltage room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 1.2 20kW,F10-A1-9.0-FH1,X,,,,EQP1 150kW,,,,Bij test panel,,BFC,Batch & Furnace Control Room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 1.3 20kW,F10-A1-9.0-FH1,X,,,,EQP2 11kW,,,,,,BMR,Botero Machine Room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 1.4 20kW,F10-A1-9.0-FH1,X,,,,EQP3 15kW,,,,,,BTH,Botero Timing Room Hallway
FOREHEART TRANSFORMER DISTRIBUTION PANEL 2.1 20kW,F10-A1-9.0-FH2,X,,,,EQP4 18kW,,,,,,BTR,Botero Timing Room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 2.2 20kW,F10-A1-9.0-FH2,X,,,,ADM-AHU-01,,,HOLD,Admin Building(HOLD),,CFS,Chimney Filtration System
FOREHEART TRANSFORMER DISTRIBUTION PANEL 2.3 20kW,F10-A1-9.0-FH2,X,,,,ADM-AHU-02,,,HOLD,,,CNC,Canteen Corridor
FOREHEART TRANSFORMER DISTRIBUTION PANEL 2.4 20kW,F10-A1-9.0-FH2,X,,,,AD-DPB,,,HOLD,,,COE,Cold End
FOREHEART TRANSFORMER DISTRIBUTION PANEL 3.1 20kW,F10-A1-9.0-FH3,X,,,,AD-DPG,,,HOLD,,,CPC,Control Panel Corner
FOREHEART TRANSFORMER DISTRIBUTION PANEL 3.2 20kW,F10-A1-9.0-FH3,X,,,,AD-DP1,,,HOLD,,,CPH,Compressorhal
FOREHEART TRANSFORMER DISTRIBUTION PANEL 3.3 20kW,F10-A1-9.0-FH3,X,,,,AD-DP2,,,HOLD,,,CPR,Compressor Panel Room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 3.4 20kW,F10-A1-9.0-FH3,X,,,,AD-LP1,,,HOLD,,,CRA,Cullet Return Area
FOREHEART TRANSFORMER DISTRIBUTION PANEL 4.1 20kW,F10-A1-9.0-FH4,X,,,,AD-UDP 400V/230V,,,HOLD,,,CRR,Corner Reserve Room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 4.2 20kW,F10-A1-9.0-FH4,X,,,,AD-UPB,,,HOLD,,,FCR,Fusion Pool Control Room
FOREHEART TRANSFORMER DISTRIBUTION PANEL 4.3 20kW,F10-A1-9.0-FH4,X,,,,AD-UPG,,,HOLD,,,FGS,Furnace Gas Skid
FOREHEART TRANSFORMER DISTRIBUTION PANEL 4.4 20kW,F10-A1-9.0-FH4,X,,,,AD-UP1,,,HOLD,,,FH1,Foreheart 1
THROAT BOOST PANEL |TRANSFORMER| 20kW,F10-A1-9.0-FUR,X,,,,AD-UP2,,,HOLD,,,FLR,Female Locker Room
STIRRER  PANEL DISTRIBUTION BOARD - 1 1.18kW,F10-A1-9.0-FH1,X,,,,"HEATING OVEN-1 59,4kW",F10-A1-9.0-FNC,,,,,FPF,Fan Panel Room Furnace
STIRRER  PANEL DISTRIBUTION BOARD - 2 1.18kW,F10-A1-9.0-FH1,X,,,,"HEATING OVEN-2 59,4kW",F10-A1-9.0-FNC,,,,,FPL,Fan Panel Room Left
