Title,Project,TerminalBox,ItemID,ItemGroup,EquipmentClass,FunctionalRole,PhysicalRow,DrawingReference,Status,Found,LabelOK,CableMarkerOK,ContinuityOK,PEOK,LoopOK,Technician,CheckDate,Notes,PhotoURL,RelatedCable,RelatedLoop
TB10_page95:MCC2,Batch House,TB10,MCC2,power,PowerTerminal,power_reference,Top row,8220 page 95,Not checked,false,false,false,false,false,false,,,,,,
TB10_page95:MCC3,Batch House,TB10,MCC3,power,PowerTerminal,power_reference,Top row,8220 page 95,Not checked,false,false,false,false,false,false,,,,,,
TB10_page95:MCC4,Batch House,TB10,MCC4,power,PowerTerminal,power_reference,Upper middle row,8220 page 95,Not checked,false,false,false,false,false,false,,,,,,
TB10_page95:MCC5,Batch House,TB10,MCC5,power,PowerTerminal,power_reference,Upper middle row,8220 page 95,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:IM-F1,Batch House,TB10,IM-F1,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DI-F1,Batch House,TB10,DI-F1,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DI-F2,Batch House,TB10,DI-F2,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DI-F3,Batch House,TB10,DI-F3,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DI-F4,Batch House,TB10,DI-F4,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DI-F5,Batch House,TB10,DI-F5,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DO-F1,Batch House,TB10,DO-F1,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DO-F2,Batch House,TB10,DO-F2,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7501-CU1-F11,Batch House,TB10,DCU7501-CU1-F11,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7502-CU1-F11,Batch House,TB10,DCU7502-CU1-F11,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7503-CU1-F11,Batch House,TB10,DCU7503-CU1-F11,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7504-CU1-F11,Batch House,TB10,DCU7504-CU1-F11,fuse,Fuse,supply_protection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7501-K10,Batch House,TB10,DCU7501-K10,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7501-K11,Batch House,TB10,DCU7501-K11,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7502-K10,Batch House,TB10,DCU7502-K10,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7502-K11,Batch House,TB10,DCU7502-K11,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7503-K101,Batch House,TB10,DCU7503-K101,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7504-K101,Batch House,TB10,DCU7504-K101,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7501-CU1-X1,Batch House,TB10,DCU7501-CU1-X1,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7502-CU1-X1,Batch House,TB10,DCU7502-CU1-X1,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7503-CU1-X1,Batch House,TB10,DCU7503-CU1-X1,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:DCU7504-CU1-X1,Batch House,TB10,DCU7504-CU1-X1,field,FieldTerminal,field_connection,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
TB10_page2582:24X1,Batch House,TB10,24X1,power,PowerTerminal,power_reference,Top row,8220 page 2582,Not checked,false,false,false,false,false,false,,,,,,
