Object ID,X pos,Y pos
GRID-FEED-A,0,0
GRID-FEED-B,0,0
MAIN-HV-CELL-01,180,300
MAIN-HV-CELL-02,260,300
MAIN-HV-CELL-03,340,300
MAIN-HV-CELL-04,420,300
MAIN-HV-CELL-05,500,300
MAIN-HV-CELL-06,580,300
MAIN-HV-CELL-07,660,300
MAIN-HV-CELL-08,740,300
MAIN-HV-CELL-09,820,300
MAIN-HV-CELL-10,900,300
MAIN-HV-CELL-11,980,300
TR-01,420,200
TR-02,580,200
TR-03,740,200
TR-04,900,200
TR-SPARE,0,0
TR-COMP-LV,0,0
TR-COMP-1,0,0
TR-COMP-2,0,0
TR-COMP-3,0,0
TR-COMP-4,0,0
TR-DPC,0,0
UT-MDP,0,0
UT-UDP,0,0
SAFETY-PANEL,0,0
GEN-SYNC,0,0
GEN-1,0,0
GEN-2,0,0
GEN-3,0,0
GEN-4,0,0
TR-DP,425,775
UT-COMP4-1,2700,1200
UT-DRY4-1,2745,1170
TR-DP1,290,865
UT-COMP7-1,2790,1140
7,2835,1110
SAFETY,5950,1200
PANEL-4,6200,1200
UT-FMCC,470,745
F1-OC-UDP,10200,750
UT-MCC,11200,925
UT-UP,7200,1200
TR-DP1-1,0,0
TR-DP1-2,0,0
TR-DP1-3,0,0
F1-MDP-1,450,1200
F1-MDP-9,700,925
F1-HOT-DP,950,750
F1-GEN-DP,5700,1200
F1-GEN-UP,5790,1140
HOT-10,0,0
MHO-10,995,720
FH10,2200,750
F1-MDP-9-HOT,0,0
PUMP-F10-COOL-1,0,0
PUMP-F10-COOL-2,0,0
CAF10-1,0,0
CAF10-2,0,0
DRIVE-F10-BATCH-1,0,0
F1-MDP-2,495,1170
F1-MDP-3,1200,1200
F1-COLD-DP,1450,925
F1-MDP-4,1245,1170
F1-MDP-7,1700,1200
FUR,2450,1200
ACH-01,2540,1140
FOREHEART,1175,600
THROAT,3450,750
STIRRER,1265,540
OVEN-1,3700,750
OVEN-2,3745,720
OVEN-3,3790,690
OVEN-4,3835,660
SIPAC-13,4040,865
SIPAC-14,4085,835
F10-VAC-01,4200,1200
F10-,4450,1200
F10-VAC-02,4245,1170
F10-VAC-03,4290,1140
TIMON-10-1,4790,690
F10-VAC-04,4335,1110
TIMON-10-2,4835,660
F10-ECF-14-1,4950,1200
F10-ECF-14-2,4995,1170
F10-CCF-13,5040,1140
F10-CCF-13-14,5085,1110
F10-CCF-14-1,5130,1080
F10-VCF-13-2,5175,1050
CONVEYOR,5840,-510
F10-VCF-13-1,5220,1020
EMMETI,5885,-540
F10-ECF-13-2,5265,990
MCAL-14,4085,660
F10-ECF-12-1,5200,1200
F10-ECF-12-2,5245,1170
MULTI-14,4175,600
F10-CCF-11,5290,1140
F10-CCF-11-12,5335,1110
MX4-4-14,4355,480
F10-CCF-12-1,5380,1080
F10-VCF-11-2,5425,1050
F10-VCF-11-1,5470,1020
F10-ECF-11-2,5515,990
CVCD-14,4445,420
RS,6380,-870
PAL,6425,-900
F1-MDP-8,745,895
MCAL_13.1,4670,270
F1-MZ-DP,790,865
MCAL-13,4715,240
HOT10,835,835
MULTI-13,6020,-630
F1-UO-DP,540,1140
MX4-4-13,4985,60
F1-MCC,3450,1200
CVCD-13,5075,0
MCAL_12.1,5930,-570
F1-DPG,4540,1140
MCAL-12,5975,-600
MULTI-12,6065,-660
MX4-4-12,6245,-780
UT-DP,7200,1200
MS-DP,7450,1200
F1-ADP,7700,1200
CVCD-12,6335,-840
PW-DP,7950,1200
F1-MCC2,8200,1200
F1-MCC3,8450,1200
F1-MCC4,5745,1170
F1-DPG1,585,1110
F1-DPG2,1290,1140
F1-FP,8700,1200
F1-DP2,6695,-1080
F1-DP1,1540,865
FCP10.1,9040,865
F1-MCC5,6740,-1110
FCP10.2,9085,835
F1-MCC6,6785,-1140
RFP10.1,9450,925
RA-MCC,6830,-1170
RFP10.2,9700,925
RA-DP,6875,-1200
LAHTI-MCC,10495,1170
TC10.1,10700,750
TC10.2,10745,720
F1-HP-1,10950,925
CAF10.1,10790,690
F1-HP-2,10995,895
CAF10.2,10835,660
F1-HP-3,11040,865
WE&FH10.1,3495,720
F1-HP-4,11085,835
WE&FH10.2,3540,690
WE&FH10.3,3585,660
WE&FH10.4,3630,630
F1-FU-MCC,8745,1170
F1-COLD-UDP,1585,835
F1-UPG,1335,1110
F1-UP1,925,775
F1-UP2,6920,-1230
F1-MDP-5,10880,630
F1-MDP-6,10925,600
TC10,1,11450,750
TC10,2,11495,720
CAF10,1,11540,690
CAF10,2,11585,660
WE&FH10,1,3675,600
WE&FH10,2,3720,570
WE&FH10,3,3765,540
WE&FH10,4,3810,510
F1-AUP,7745,1170
F10-BCF-2,11630,630
F10-BCF-4,11675,600
F10-SCF-2,11720,570
F10-BCF-1,11810,510
F10-SCF-1,11855,480
DC-BH-01,0,0
BH-TB-SUMMARY,0,0
CT-DC-01,0,0
CT-CRUSHER-1,0,0
CT-CONV-1,0,0
BH-MDP,5450,1200
BH-UDP,9950,600
BH-DP1,1950,1200
BH-DP2,1950,945
BH-DP3,1950,600
BH-DP4,1950,325
BH-DP5,1950,60
BH-DP6,1950,-190
BH-DP7,1950,-425
LAHTI,10175,450
